time model lmap smap view 
16820 320 23 3 1563 
37442 159 20 5 1652 
32135 591 45 6 1532 
34682 574 28 6 1568 
33609 320 27 6 1698 
33080 392 20 29 1650 
34217 504 28 6 1529 
34319 436 28 6 1638 
33109 439 28 6 1540 
33311 431 28 6 1525 
33009 390 24 5 1509 
33038 442 29 6 1544 
33377 482 28 6 1596 
32752 331 32 6 1592 
33637 441 21 5 1491 
32860 438 28 6 1582 
34189 430 27 6 1520 
33249 462 28 6 1548 
33598 478 32 6 1565 
32967 386 21 5 1529 
32998 317 28 6 1601 
33777 436 28 6 1587 
33302 441 28 6 1613 
33082 444 28 6 1519 
34073 390 21 5 1489 
32098 475 55 6 1545 
34272 438 27 5 1539 
33305 437 28 6 1500 
33199 456 22 5 1531 
32845 309 28 6 1593 
33402 421 28 6 1572 
33388 432 28 6 1525 
33663 419 27 6 1518 
33130 382 21 5 1564 
33428 438 29 6 1557 
33699 424 29 6 1591 
32810 348 28 6 1744 
33389 502 28 6 1625 
33069 394 21 5 1486 
33365 430 28 6 1512 
34920 432 28 6 1570 
31767 437 28 6 1643 
33635 467 21 5 1561 
32537 354 28 6 1689 
33763 467 29 6 1718 
34151 437 28 6 1575 
33292 474 27 6 1612 
33151 474 21 5 1518 
32781 468 28 6 1628 
33246 504 29 6 1632 
33292 428 28 6 1635 
34378 495 28 6 1645 
32905 281 21 5 1659 
33425 421 28 6 1641 
33529 436 28 6 1595 
33532 459 29 6 1634 
32558 485 28 6 1622 
33283 390 21 5 1585 
33243 433 28 6 1552 
33702 351 28 6 1696 
32659 465 28 6 1740 
33838 382 21 5 1567 
33232 428 28 7 1543 
33601 424 27 6 1576 
34825 429 29 6 1536 
31224 433 28 6 1615 
33339 277 22 5 1581 
33728 427 28 6 1728 
34281 430 28 6 1750 
32935 472 28 6 1663 
33667 431 28 6 1643 
33510 455 21 5 1594 
32230 457 28 6 1604 
20720 431 32 6 1505 
28923 272 20 5 1567 
20232 308 28 6 1571 
28995 319 27 6 1561 
19578 270 20 5 1496 
29965 315 28 6 1544 
19436 464 21 5 1601 
30928 207 27 6 1619 
33350 433 32 6 1539 
32507 425 20 5 1520 
32984 522 28 6 1590 
33996 310 28 6 1636 
33078 443 28 6 1567 
32659 384 21 5 1543 
33823 431 29 6 1535 
33334 440 28 6 1540 
34053 431 27 6 1566 
33446 467 28 6 1603 
32866 275 20 5 1647 
33052 465 32 5 1661 
32761 442 28 6 1497 
34177 423 28 6 1513 
33672 437 28 6 1509 
33203 381 21 5 1502 
32230 491 32 6 1551 
19908 380 28 6 1637 
31181 287 20 5 1511 
33326 468 28 6 1563 
33422 432 28 6 1636 
32347 434 28 6 1555 
32902 279 24 5 1612 
33972 473 29 6 1545 
33562 474 28 6 1636 
33169 431 27 6 1585 
32848 435 30 6 1490 
33056 387 22 5 1577 
34001 426 29 8 1550 
33320 509 31 6 1539 
33474 321 29 6 1581 
33814 430 28 6 1554 
32761 395 21 5 1524 
32948 478 29 6 1528 
35349 474 27 6 1489 
32638 433 29 6 1681 
33499 566 28 6 1632 
33080 388 21 5 1549 
33302 497 29 6 1549 
33592 316 31 6 1635 
32915 431 28 6 1659 
33457 393 22 5 1673 
33497 461 41 6 1684 
32506 436 29 6 1630 
33717 468 29 6 1595 
33648 430 28 6 1616 
34084 275 22 5 1613 
32141 441 30 6 1735 
33550 424 28 6 1553 
33206 423 28 6 1567 
33908 475 28 6 1505 
32597 450 21 5 1619 
34318 422 28 6 1656 
33024 441 29 6 1659 
32956 360 28 6 1663 
32102 381 21 5 1610 
21064 430 29 6 1583 
29276 321 26 6 1535 
20852 272 21 5 1691 
30004 343 27 6 1664 
21302 450 28 6 1604 
28716 277 20 5 1601 
21059 316 27 6 1567 
28493 270 20 5 1532 
20943 317 28 6 1584 
29147 273 20 5 1538 
20909 426 29 6 1496 
28455 197 26 6 1666 
20192 383 21 5 1492 
30216 312 25 6 1531 
20284 274 21 5 1501 
28735 357 27 6 1491 
19656 354 28 6 1510 
30684 272 20 5 1496 
34271 437 27 6 1649 
33130 459 63 6 1590 
34271 334 87 5 2087 
32567 708 29 6 1600 
33015 442 30 6 1933 
32037 467 28 6 1584 
20395 463 27 6 1593 
28986 314 19 5 1552 
19797 312 28 6 1539 
30263 277 20 5 1511 
33114 312 29 6 1537 
34396 468 30 6 1618 
32159 390 20 5 1619 
19934 423 29 6 1511 
30584 315 27 6 1525 
33095 272 21 5 1611 
33724 425 28 6 1588 
34070 465 28 6 1607 
32965 531 28 6 1616 
33045 490 28 6 1638 
34394 420 21 5 1570 
31986 430 29 6 1704 
19697 471 28 6 1549 
30303 161 20 5 1528 
33412 419 27 6 1529 
33620 429 27 6 1514 
32569 421 28 6 1516 
33272 298 20 5 1622 
34046 453 28 6 1606 
33256 434 28 6 1592 
33334 423 29 6 1643 
32797 464 28 6 1563 
33574 386 22 5 1537 
31775 423 28 6 1599 
19668 314 28 6 1648 
30523 275 23 5 1524 
33293 419 28 6 1657 
33546 420 27 6 1512 
33121 309 27 6 1594 
32845 378 21 5 1689 
33431 425 28 6 1506 
33713 425 29 6 1600 
33858 426 28 6 1660 
32563 423 28 6 1531 
33324 380 51 7 1527 
33142 421 28 6 1553 
33893 338 27 6 1628 
32293 475 29 6 1608 
18809 487 29 6 1513 
31028 267 19 5 1514 
33027 439 28 6 1569 
34081 381 20 5 1606 
33925 425 28 6 1499 
33047 442 28 6 1517 
33518 463 28 6 1585 
32450 424 28 6 1512 
33322 424 21 5 1485 
33156 312 27 6 1592 
33714 424 28 35 1561 
33228 425 28 6 1555 
33551 424 27 6 1539 
32987 379 21 5 1489 
33385 425 28 6 1514 
33292 426 28 6 1599 
34122 478 27 6 1523 
32623 535 28 6 1604 
33961 272 21 5 1836 
34249 432 28 6 1611 
32870 502 59 7 1545 
33626 502 28 6 1523 
33431 418 21 5 1536 
32971 426 28 6 1522 
33734 424 27 6 1560 
32478 318 28 6 1595 
34143 469 28 6 1581 
32590 446 22 5 1693 
34541 428 28 6 1522 
32384 430 29 6 1526 
33474 435 28 6 1604 
33010 441 28 6 1545 
33237 428 21 5 1605 
32937 384 29 6 1704 
33662 434 28 6 1796 
36887 534 28 6 1530 
30441 442 29 6 1899 
32704 433 22 5 1542 
33208 483 29 6 1649 
33229 469 29 6 1569 
33752 470 29 6 1590 
32849 285 21 5 1688 
32973 565 80 7 1597 
33802 463 29 6 1620 
33731 432 28 6 1627 
32942 426 28 6 1536 
33455 383 22 5 1548 
33121 497 27 6 1523 
33230 317 61 7 1648 
33906 467 28 6 1648 
33245 384 27 5 1586 
33023 425 29 6 1602 
33661 423 28 6 1638 
33986 452 28 36 1631 
32458 461 28 6 1617 
32694 381 21 5 1534 
33778 316 29 6 1690 
33728 435 28 6 1584 
33470 428 28 6 1640 
33355 426 29 6 1547 
33215 379 21 5 1520 
33182 430 28 6 1560 
34160 467 28 6 1627 
33041 438 29 6 1601 
33467 312 21 5 1877 
32670 471 32 6 1641 
33183 439 28 6 1644 
34203 425 28 6 1620 
33129 454 29 6 1551 
32915 420 21 5 1588 
32517 430 28 6 1580 
34469 316 29 6 1676 
33194 690 29 6 1652 
33019 325 29 6 1599 
33665 390 21 5 1651 
32610 433 29 6 1585 
34098 432 29 6 1625 
33307 432 29 6 1639 
33174 475 32 6 1610 
32809 428 21 5 1590 
33162 365 29 6 1614 
33328 442 46 6 1602 
33750 464 28 6 1652 
33358 445 21 5 1582 
32973 437 30 6 1542 
33498 428 29 6 1642 
32722 435 61 6 1672 
32697 314 29 6 1736 
33216 411 21 5 1613 
32829 428 29 6 1584 
34461 471 28 6 1538 
31876 427 29 6 1601 
32867 389 21 5 1537 
34081 311 28 6 1549 
32577 425 28 6 1701 
33925 424 28 6 1502 
32968 436 36 6 1613 
33696 451 21 5 1565 
33186 422 28 6 1609 
33393 468 28 6 1546 
32952 422 28 6 1528 
33400 346 29 6 1631 
32921 379 21 5 1739 
34175 423 28 6 1585 
33655 433 28 6 1515 
33855 430 28 6 1524 
32765 533 28 6 1555 
33631 379 21 5 1528 
27236 298 24 227 1634 
43999 431 20 214 1389 
31909 524 25 254 1594 
33200 306 25 224 1587 
32723 413 24 231 1610 
33376 418 24 222 1511 
33897 376 20 215 1421 
33473 453 44 222 1606 
33383 432 25 221 1523 
33538 412 24 222 1573 
33343 307 24 221 1538 
33626 399 21 214 1491 
32594 436 25 222 1603 
33052 413 24 257 1535 
33220 449 51 227 1539 
33844 447 20 216 1497 
33358 416 24 233 1509 
33917 371 25 220 1661 
33431 488 24 222 1599 
32432 413 24 222 1635 
27755 372 21 228 1460 
38577 296 23 255 1579 
33478 567 24 225 1550 
33805 416 24 222 1533 
32606 453 23 256 1538 
32904 294 50 220 1452 
34727 417 25 220 1572 
32468 421 25 231 1564 
33684 430 24 219 1526 
33604 379 21 279 1395 
32704 417 25 256 1542 
33991 459 24 221 1492 
33062 423 24 222 1568 
33488 304 24 224 1589 
32767 376 20 247 1460 
33101 418 24 252 1527 
33016 416 24 250 1495 
33900 419 24 229 1484 
34148 418 24 225 1567 
33424 378 20 261 1441 
34027 471 25 218 1552 
33228 448 24 225 1561 
32538 321 25 228 1549 
33471 420 25 225 1545 
33386 379 20 218 1437 
33587 466 61 245 1551 
33573 420 25 343 1590 
32160 460 25 314 1570 
33557 375 20 307 1473 
32882 301 24 365 1517 
32750 412 24 374 1582 
34829 415 25 316 1557 
33029 444 25 314 1576 
33014 423 20 305 1462 
33104 427 24 313 1630 
33596 421 23 311 1550 
34504 467 25 318 1554 
32085 314 24 369 1491 
34012 385 19 301 1485 
31519 417 25 311 1528 
29426 416 25 306 1561 
38094 298 22 403 1802 
34595 499 21 438 1457 
31011 482 25 411 1612 
36289 366 24 444 1566 
31232 580 25 474 1570 
33425 296 21 441 1562 
32935 443 20 402 1489 
33232 413 24 410 1489 
33184 416 24 413 1493 
33243 416 24 407 1485 
35178 265 20 481 1432 
32590 574 25 447 1611 
33705 307 25 465 1546 
33615 474 25 408 1580 
31691 455 28 447 1604 
33370 375 20 400 1408 
33913 493 24 412 1510 
32707 414 25 436 1527 
33413 305 25 414 1671 
33879 416 58 433 1598 
31664 378 20 446 1590 
29869 460 25 457 1555 
37382 445 23 406 1660 
32978 421 25 409 1529 
34348 420 24 447 1545 
33144 447 20 401 1409 
33569 351 28 413 1741 
33276 417 24 582 1623 
31489 459 23 410 1682 
34468 377 19 404 1408 
33260 478 25 400 1506 
33600 446 24 497 1480 
37704 411 27 531 1615 
34190 427 28 502 2051 
45326 390 24 666 2450 
33151 567 30 537 1652 
32307 379 21 531 1448 
33550 402 25 536 1617 
34205 422 24 547 1615 
33562 496 24 499 1575 
32039 379 20 567 1405 
32856 425 23 508 1526 
34689 417 23 502 1483 
31619 453 24 497 1642 
28736 307 56 434 1659 
38766 383 19 384 1402 
34142 429 25 412 1623 
33067 421 24 415 1598 
32604 426 25 477 1557 
33904 466 25 409 1586 
33989 464 20 402 1527 
32910 501 25 416 1552 
32463 419 24 414 1546 
33842 330 24 408 1593 
33916 424 20 412 1527 
32933 451 23 407 1660 
32646 485 24 451 1546 
33859 451 23 413 1587 
32831 422 24 411 1583 
33002 409 21 404 1414 
33615 334 27 307 1529 
33814 451 24 406 1560 
32385 418 25 441 1571 
33894 431 24 408 1675 
33792 423 20 440 1481 
32787 446 25 441 1546 
33498 419 24 444 1494 
33557 369 24 478 1596 
32361 426 19 431 1560 
33881 426 24 429 1507 
33926 510 25 411 1568 
32769 458 24 413 1509 
32210 435 26 420 1558 
34343 418 20 440 1416 
32422 459 25 411 1571 
33436 345 25 445 1597 
33380 435 24 408 1573 
33452 430 24 413 1518 
33103 400 20 407 1416 
33863 418 25 446 1546 
33414 432 25 417 1630 
33655 413 24 455 1528 
31878 400 66 407 1497 
29966 316 25 416 1547 
38570 411 23 504 1554 
129074 451 24 410 1594 
51967 1602 27 470 1579 
35422 658 26 357 1500 
33454 417 25 354 1568 
33724 471 23 316 1546 
33390 420 24 323 1488 
32872 405 20 313 1480 
34133 307 24 359 1531 
31994 435 24 323 2195 
32351 413 24 323 1494 
27893 376 21 313 1407 
41974 297 21 328 1582 
30214 543 26 393 1720 
34817 461 22 316 1499 
32385 304 24 357 1562 
34431 429 20 315 1443 
32477 419 24 320 1489 
34373 459 24 320 1482 
33193 420 25 320 1633 
33075 417 25 328 1649 
32377 383 20 349 1448 
34051 317 27 323 1554 
32921 516 24 320 1616 
33655 450 24 339 1541 
32774 420 24 321 1593 
33713 418 19 310 1398 
35090 466 24 322 1553 
30916 491 28 332 1630 
32525 454 23 317 1624 
27982 263 19 314 1508 
40003 408 21 348 1487 
33807 416 25 354 1551 
32639 421 25 208 1542 
34055 473 25 317 1580 
32578 457 20 315 1473 
35161 434 25 355 1549 
30562 429 131 351 1560 
34519 333 22 321 1586 
50617 433 25 328 1682 
32426 641 24 333 1577 
34090 265 18 327 1465 
33045 509 24 326 1807 
33322 459 24 318 1586 
33328 422 24 324 1628 
33180 415 23 359 1546 
32555 377 20 343 1463 
33874 414 25 324 1604 
32475 444 24 319 1534 
33973 304 24 354 1526 
32525 422 25 329 1593 
34008 427 20 318 1431 
34202 419 25 323 1504 
32110 463 24 321 1699 
32407 419 24 329 1496 
34775 378 20 316 1405 
32544 307 24 343 1564 
35130 449 23 447 1621 
32998 420 24 486 1606 
33060 416 24 440 1631 
33167 376 19 432 1496 
33485 421 24 452 1643 
33267 448 24 411 1722 
33623 416 24 437 1629 
33420 468 24 493 1641 
33517 299 20 493 1451 
34638 446 24 499 1628 
48418 429 25 541 1644 
33731 535 25 501 1528 
31473 427 25 631 1743 
33960 409 22 514 1586 
50101 428 19 495 1441 
33617 568 25 498 2069 
33703 382 20 524 1572 
33285 415 24 535 1638 
33614 417 28 504 1536 
31274 436 27 507 1643 
33818 411 34 502 1490 
33718 265 20 483 1482 
50793 464 26 630 1567 
34033 679 25 658 1610 
31704 489 27 600 1649 
50970 305 24 646 1593 
31837 651 25 588 1533 
52787 466 22 610 1621 
47509 533 25 615 1532 
32206 530 24 588 1589 
33869 408 23 585 1481 
51071 411 24 596 1562 
33168 529 25 589 2168 
32701 421 24 485 1576 
33578 507 25 589 1572 
32621 376 20 623 1521 
33319 458 24 587 1534 
33879 420 24 602 1568 
32490 305 24 624 1699 
34139 407 20 584 1509 
33586 453 24 627 1635 
33097 416 24 663 1564 
34011 415 24 658 2022 
33758 416 23 658 1661 
30578 379 20 603 1523 
33644 299 23 583 1596 
34185 413 24 589 1603 
51133 415 24 595 1609 
32221 676 24 623 1704 
50527 353 24 598 1589 
33385 682 26 630 1718 
33314 455 24 624 1667 
33104 263 19 610 1565 
33024 413 24 616 1792 
33824 414 24 656 1807 
33336 416 24 529 1720 
33879 459 25 508 1628 
31638 389 21 550 1580 
51101 461 23 517 1616 
33384 557 25 551 1605 
37787 418 29 578 1656 
31797 504 26 522 1539 
47397 457 26 502 1560 
33233 566 26 453 1769 
37589 426 33 449 1761 
31642 421 25 415 1591 
46861 421 19 394 1415 
33846 579 25 447 1596 
32775 418 29 412 1620 
34172 418 25 478 1651 
31944 307 25 433 1888 
32491 414 24 459 1528 
33757 381 20 400 1397 
32806 456 24 404 1558 
10163 31 1 0 6 
28516 225 773 20 47 
25626 98 709 18 18 
5840 0 0 0 0 
9992 0 0 0 0 
25522 178 693 17 16 
4502 0 0 0 0 
9953 0 0 0 0 
25324 259 638 17 16 
4647 0 0 0 0 
9964 0 0 0 0 
25681 216 835 17 16 
4386 0 0 0 0 
9996 0 0 0 0 
9968 0 0 0 0 
25172 200 708 16 15 
4906 0 0 0 0 
9875 0 0 0 0 
25237 126 688 16 15 
4790 0 0 0 0 
10054 0 0 0 0 
25488 256 668 16 15 
4443 0 0 0 0 
10085 0 0 0 0 
